Blocksize,RelSize
100,1.01912
200,0.987543
300,0.942693
400,0.912287
500,0.892208
600,0.862656
700,0.846541
800,0.836753
900,0.821699
1000,0.81582
1100,0.797386
1200,0.789351
1300,0.781774
1400,0.774944
1500,0.770899
1600,0.764985
1700,0.759062
1800,0.752177
1900,0.747288
2000,0.746991
2100,0.733231
2200,0.730858
2300,0.728872
2400,0.724018
2500,0.718014
2600,0.715911
2700,0.714752
2800,0.709458
2900,0.707696
3000,0.70491
3100,0.704856
3200,0.699329
3300,0.698987
3400,0.694682
3500,0.697513
3600,0.690745
3700,0.691338
3800,0.685793
3900,0.688121
4000,0.686206
4100,0.67774
4200,0.67427
4300,0.670585
4400,0.67161
4500,0.66859
4600,0.669345
4700,0.667988
4800,0.668168
4900,0.665417
5000,0.662038
5100,0.659072
5200,0.660501
5300,0.657634
5400,0.657472
5500,0.656304
5600,0.655288
5700,0.656762
5800,0.654614
5900,0.653463
6000,0.651621
6100,0.649886
6200,0.64932
6300,0.649266
6400,0.648547
6500,0.645671
6600,0.645087
6700,0.644026
6800,0.643298
6900,0.644503
7000,0.643109
7100,0.64097
7200,0.639496
7300,0.639703
7400,0.638328
7500,0.636485
7600,0.635946
7700,0.639766
7800,0.638184
7900,0.636818
8000,0.634005
8100,0.633645
8200,0.62907
8300,0.628648
8400,0.628324
8500,0.626257
8600,0.625898
8700,0.623552
8800,0.625736
8900,0.625646
9000,0.622788
9100,0.623893
9200,0.621521
9300,0.619939
9400,0.621323
9500,0.620622
9600,0.622033
9700,0.620181
9800,0.619534
9900,0.619624
10000,0.617692
10100,0.615759
10200,0.613288
10300,0.61522
10400,0.614995
10500,0.615031
10600,0.613908
10700,0.613036
10800,0.613171
10900,0.611922
11000,0.612524
11100,0.610268
11200,0.610573
11300,0.60989
11400,0.611328
11500,0.610169
11600,0.609719
11700,0.608578
11800,0.60945
11900,0.607688
12000,0.608317
12100,0.6067
12200,0.605648
12300,0.605729
12400,0.603958
12500,0.604587
12600,0.604569
12700,0.602844
12800,0.602673
12900,0.602691
13000,0.602772
13100,0.601918
13200,0.603482
13300,0.601415
13400,0.599599
13500,0.599347
13600,0.598566
13700,0.598781
13800,0.598943
13900,0.597011
14000,0.597262
14100,0.596705
14200,0.595321
14300,0.595995
14400,0.595231
14500,0.594988
14600,0.594737
14700,0.595761
14800,0.596076
14900,0.593946
15000,0.594943
15100,0.594359
15200,0.594251
15300,0.594449
15400,0.594773
15500,0.594557
15600,0.593146
15700,0.591834
15800,0.591294
15900,0.588382
16000,0.589605
16100,0.588167
16200,0.58822
16300,0.588391
16400,0.587852
16500,0.588688
16600,0.588535
16700,0.589739
16800,0.588274
16900,0.588014
17000,0.587951
17100,0.588751
17200,0.588059
17300,0.587636
17400,0.586854
17500,0.58751
17600,0.587942
17700,0.587762
17800,0.587196
17900,0.585623
18000,0.584526
18100,0.584122
18200,0.583169
18300,0.582504
18400,0.582001
18500,0.580293
18600,0.578585
18700,0.579251
18800,0.578972
18900,0.579278
19000,0.578289
19100,0.579143
19200,0.579367
19300,0.579628
19400,0.579925
19500,0.579592
19600,0.580338
19700,0.580365
19800,0.579952
19900,0.580149
20000,0.580931
20100,0.579898
20200,0.581093
20300,0.579053
20400,0.579403
20500,0.580293
20600,0.580266
20700,0.580482
20800,0.579682
20900,0.580275
21000,0.579592
21100,0.578918
21200,0.577884
21300,0.577795
21400,0.577228
21500,0.576392
21600,0.576563
21700,0.576033
21800,0.575008
21900,0.574721
22000,0.57393
22100,0.573516
22200,0.571979
22300,0.571108
22400,0.571206
22500,0.570667
22600,0.570398
22700,0.569427
22800,0.570119
22900,0.570191
23000,0.570784
23100,0.571072
23200,0.570865
23300,0.570299
23400,0.569616
23500,0.570505
23600,0.569948
23700,0.569238
23800,0.569166
23900,0.568438
24000,0.568555
24100,0.56904
24200,0.568357
24300,0.56816
24400,0.567396
24500,0.567432
24600,0.567126
